Identifiant;Commémoré;Adresse complète;Précision adresse;Code postal;xy
337.0;MAURY;52, rue d'Anjou 75008 Paris;NULL;75008.0;48.873022, 2.322365
450.0;Louis TOUPELIN DE LA DOILIERE;12, rue Lucien Sampaix 75010 Paris;NULL;75010.0;48.871683, 2.360559
625.0;Eleves de ces ecoles morts en déportation parce que nés juifs;4 rue Bignon 75012 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75012.0;48.840428, 2.388511
912.0;Eleves de ces ecoles morts en déportation parce que nés juifs;15 rue Truffaut 75017 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75017.0;48.884936, 2.322532
970.0;Eleves de ces ecoles morts en déportation parce que nés juifs;11 rue andre del sarte 75018 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75018.0;48.885718, 2.346364
995.0;Eleves de ces ecoles morts en déportation parce que nés juifs;53bis rue Max Dormoy 75018 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75018.0;48.888818, 2.3598369999999997
4.0;Jacques CAMI;2, rue du Roule 75001 Paris;NULL;75001.0;48.86022, 2.343584
131.0;Jean MONTAURON;Place Louis Lépine Angle rue de la Cité sur le mur de la préfecture de police 75004 Paris;NULL;75004.0;
149.0;Eleves de ces ecoles morts en déportation parce que nés juifs;Lycée Charlemagne 14 rue Charlemagne 75004 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75004.0;48.854238, 2.360483
215.0;Georges FULLY;25, quai des Grands Augustins 75006 Paris;NULL;75006.0;48.85426, 2.342896
151.0;Pierre ALVISET;6, boulevard Saint-Marcel 75005 Paris;NULL;75005.0;48.839942, 2.361098
483.0;COMITE AMELOT;36 rue Amelot 75011 Paris;NULL;75011.0;48.858264, 2.368633
38.0;SYNDICAT NATIONAL DES ACTEURS;7, rue Monsigny 75002 Paris;NULL;75002.0;48.868577, 2.3352209999999998
470.0;Eleves de ces ecoles morts en déportation parce que nés juifs;12 rue d Abbeville 75010 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75010.0;48.878977, 2.349967
844.0;Emile FRUCHARD;14, rue Leroux 75016 Paris;NULL;75016.0;48.871344, 2.286954
824.0;Eleves de ces ecoles morts en déportation parce que nés juifs;21 rue Dupleix 75015 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75015.0;48.851482, 2.297194
954.0;Maurice MAERTENS;1, rue des Gardes 75018 Paris;NULL;75018.0;48.885124, 2.352513
934.0;Jean Roger DEBRAIS;1, rue Foyatier 75018 Paris;NULL;75018.0;48.884673, 2.342389
1071.0;VICTIMES DE GUERRE;avenue Corentin Cariou 75019 Paris;NULL;75019.0;48.896116, 2.3838559999999998
1170.0;Eleves de ces ecoles morts en déportation parce que nés juifs;94 rue des Couronnes 75020 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75020.0;48.870419, 2.38766
1145.0;Fernande ONIMUS;84, rue des Rondeaux 75020 Paris;NULL;75020.0;48.864605, 2.395995
1192.0;Eleves de ces ecoles morts en déportation parce que nés juifs;291 rue des Pyrénées Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75020.0;48.869301, 2.394867
1197.0;Eleves de ces ecoles morts en déportation parce que nés juifs;9 rue des panoyaux Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75020.0;48.866365, 2.384761
63.0;Maurice LAMY;29, boulevard Saint-Martin 75003 Paris;NULL;75003.0;48.868323, 2.358786
113.0;9 place de l'hôtel de ville;;NULL;75004.0;48.851745, 2.355582
127.0;MEMORIAL;2, place Baudoyer Mairie du IVème arrondissement 75004 Paris;NULL;75004.0;48.856164, 2.355667
318.0;Patrice De BELLAIGUE;13-15, rue Lamennais 75008 Paris;NULL;75008.0;48.874165, 2.302483
342.0;Roger REAL;3 bis, avenue Gabriel 75008 Paris;NULL;75008.0;48.868388, 2.31643
438.0;Jean POUYSEGUR;rue de Dunkerque 75010 Paris;à  la hauteur du 1er étage;75010.0;48.880160000000004, 2.354007
612.0;Eleves de ces ecoles morts en déportation parce que nés juifs;18 rue de la Brèche aux Loups 75012 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75012.0;48.837456, 2.394084
700.0;Eleves de ces ecoles morts en déportation parce que nés juifs;121 rue de Patay 75013 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75013.0;48.828205, 2.370377
1081.0;Eleves de ces ecoles morts en déportation parce que nés juifs;47 rue Armand Carrel 75019 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75019.0;48.882699, 2.375772
1085.0;Eleves de ces ecoles morts en déportation parce que nés juifs;rue du général Brunet 75019 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75019.0;48.881485, 2.392259
1172.0;Eleves de ces ecoles morts en déportation parce que nés juifs;1 rue Levert 75020 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75020.0;48.873069, 2.38963
407.0;30 FRANCAIS;Gare du Nord 75010 Paris;NULL;75010.0;48.881211, 2.355447
513.0;PRISON DE LA PETITE ROQUETTE;168, rue de la Roquette 75011 Paris;NULL;75011.0;48.858942, 2.3854
585.0;Germinal MATTA;41, avenue de Saint-Mandé 75012 Paris;NULL;75012.0;48.845235, 2.401291
246.0;Victor RASTELLO;4, rue de Condé Carrefour de l'Odéon 75006 Paris;NULL;75006.0;48.851978, 2.338485
325.0;André DELOBELLE;11, rue de Washington 75008 Paris;NULL;75008.0;48.872692, 2.302195
259.0;René ALAZARD;Face au 75, quai d'Orsay 75007 Paris;NULL;75007.0;48.862217, 2.304699
191.0;Eleves de ces ecoles morts en déportation parce que nés juifs;30 rue Saint-Jacques 75005 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75005.0;48.851198, 2.345582
821.0;Eleves de ces ecoles morts en déportation parce que nés juifs;12 rue Fondary 75015 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75015.0;48.848409, 2.292237
829.0;Raymond-charles BONENFANT;17, rue galilée 75016 Paris;NULL;75016.0;48.868668, 2.293585
1005.0;Eleves de ces ecoles morts en déportation parce que nés juifs;6 rue Charles Hermite 75018 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75018.0;48.899891, 2.368529
1158.0;Eugene THEDE;14, rue des Partants 75020 Paris;NULL;75020.0;48.865143, 2.391016
1050.0;Jean-gabriel LAUMAIN;5, rue Burnouf 75019 Paris;NULL;75019.0;48.875624, 2.3738609999999998
60.0;Roger GUIMET;29, boulevard du Temple 75003 Paris;(à  gauche de la bourse du travail);75003.0;48.864679, 2.365558
158.0;Jean DUSSARPS;rue du Petit-Pont 75005 Paris;NULL;75005.0;48.852491, 2.346532
214.0;FONTAINE SAINT-MICHEL;Plaque droite 75006 Paris;NULL;75006.0;48.853648, 2.333632
272.0;Roger CONNAN;46, rue du Bac 75007 Paris;NULL;75007.0;48.856468, 2.326393
411.0;GUERRE 1939-1945;Gare de l'Est Départ grandes lignes 75010 Paris;NULL;75010.0;48.878422, 2.35764
484.0;Louis COSSON;8, place de la République 75011 Paris;NULL;75011.0;48.866761, 2.365658
504.0;Louise JACOBSON;8 rue des Boulets 75011 Paris;NULL;75011.0;48.849662, 2.391457
587.0;MEMORIAL 1939-1945;Fort de Vincennes 75012 Paris;NULL;75012.0;48.842349, 2.442207
607.0;Eleves de ces ecoles morts en déportation parce que nés juifs;315 rue de charenton 75012 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75012.0;48.833639, 2.395135
712.0;Eleves de ces ecoles morts en déportation parce que nés juifs;100 rue de la Glacière 75013 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75013.0;48.829246, 2.343165
715.0;Eleves de ces ecoles morts en déportation parce que nés juifs;8 rue Kuss 75013 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75013.0;48.822231, 2.351299
838.0;Jean-claude CHAYET;9, bld Wallace 75016 Paris;NULL;75016.0;48.867748, 2.293953
849.0;Lycée JANSON DE SAILLY;106,rue de la Pompe Lycée Janson de Sailly 75016 Paris;NULL;75016.0;48.86555, 2.279442
918.0;AMERICAINS...;24, rue Pajol 75018 Paris;NULL;75018.0;48.890007, 2.363196
340.0;Raoul, Laurent NORDLING;78, rue d'Anjou 75008 Paris;NULL;75008.0;48.874834, 2.322943
391.0;Charles DAGUET;12, place de la République 75010 Paris;NULL;75010.0;48.868234, 2.363824
448.0;Michel THILL;96, rue René Boulanger 75010 Paris;NULL;75010.0;48.869245, 2.355981
456.0;Eleves de ces ecoles morts en déportation parce que nés juifs;144 rue de la roquette 75010 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75010.0;48.878691, 2.355071
466.0;Eleves de ces ecoles morts en déportation parce que nés juifs;250 rue Saint-Maur 75010 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75010.0;48.872108, 2.371657
540.0;Eleves de ces ecoles morts en déportation parce que nés juifs;29 rue servan 75011 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75011.0;48.860758, 2.382974
728.0;Raoul DAGUET;208, avenue du Maine 75014 Paris;NULL;75014.0;48.829933, 2.325752
740.0;Rene LE BAIL;145, rue d'Alesia 75014 Paris;NULL;75014.0;48.829917, 2.320624
767.0;Eleves de ces ecoles morts en déportation parce que nés juifs;8 rue Maurice Rouvier 75014 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75014.0;48.831144, 2.309798
790.0;Georges DUPONT;20, rue Auguste- Chabrières 75015 Paris;NULL;75015.0;48.834696, 2.289607
939.0;Mordka FEFERMAN;12, rue Poulet 75018 Paris;NULL;75018.0;48.886733, 2.348546
976.0;Eleves de ces ecoles morts en déportation parce que nés juifs;63 rue de clignancourt 75018 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75018.0;48.888234, 2.347859
97.0;AGENTS DE L'HOTEL-DIEU;Hôtel-Dieu cour intérieure 75004 Paris;NULL;75004.0;48.854029, 2.363436
98.0;A LA MEMOIRE DES 112 HABITANTS;10-12, rue des Deux Ponts 75004 Paris;NULL;75004.0;48.85175, 2.356535
183.0;Eleves de ces ecoles morts en déportation parce que nés juifs;19 rue des Boulangers 75005 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75005.0;48.845861, 2.352982
1053.0;Fernand MAZOYER;Porte de la Villette 75019 Paris;2ème pont côté gauche (en sortie);75019.0;48.898854, 2.386926
1070.0;TRAIN ALLEMAND;rue Manin 75019 Paris;NULL;75019.0;48.882477, 2.385879
1080.0;Eleves de ces ecoles morts en déportation parce que nés juifs;45 rue Armand Carrel 75019 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75019.0;48.882679, 2.376214
781.0;Paul BUDANT;23, rue des Morillons 75015 Paris;NULL;75015.0;48.83393, 2.297569
190.0;Eleves de ces ecoles morts en déportation parce que nés juifs;28 rue Saint-Jacques 75005 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75005.0;48.851327, 2.345657
352.0;Louis COMTE;10, rue Thimonnier 75009 Paris;NULL;75009.0;48.880199, 2.346472
357.0;Fernand GUILBERT;27, rue Drouot 75009 Paris;NULL;75009.0;48.87476, 2.340772
324.0;Jean Roger DEBRAIS;35, rue d'Anjou 75008 Paris;NULL;75008.0;48.872261, 2.32196
788.0;Roger COROUGE;39 bis, rue Dantzig 75015 Paris;NULL;75015.0;48.832771, 2.298028
650.0;20 rue esquirol;75013 Paris;NULL;75013.0;48.831473, 2.368694
1028.0;Abert DEBUT;32, rue des Chaufourniers 75019 Paris;NULL;75019.0;48.877869, 2.373846
1198.0;Eleves de ces ecoles morts en déportation parce que nés juifs;;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75020.0;48.851745, 2.355582
64.0;David KOULICHE;87, rue de Turenne 75003 Paris;NULL;75003.0;48.860663, 2.364461
175.0;René SITTERLIN;47, quai de la Tournelle 75005 Paris;NULL;75005.0;48.850803, 2.35215
186.0;Eleves de ces ecoles morts en déportation parce que nés juifs;12 rue victor cousin 75005 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75005.0;48.847604, 2.342191
299.0;H à€ Z MEMORIAL 1939-1945;116, rue de Grenelle Mairie du VIIème arrondissement 75007 Paris;Hall d'entrée;75007.0;48.856871, 2.320027
300.0;MEMORIAL DEUXIEME GUERRE MONDIALE;110, rue de Grenelle Ministère de l'Education Nationale 75007 Paris;Hall d'entrée;75007.0;48.856634, 2.3207969999999998
375.0;Eleves de ces ecoles morts en déportation parce que nés juifs;Lycée jules Ferry77 bld de Clichy 75009 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75009.0;
404.0;Maurice FELD;83, rue du Faubourg Saint- Denis 75010 Paris;NULL;75010.0;48.873496, 2.354737
459.0;Eleves de ces ecoles morts en déportation parce que nés juifs;Collège 11 rue Jean poulmarch 75010 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75010.0;48.872314, 2.363598
494.0;Léon FROT;53-55, rue Léon Frot 75011 Paris;NULL;75011.0;48.856281, 2.385786
506.0;MEMORIAL;place Leon Blum Mairie du XIeme 75011 Paris;hall d'entree sur la gauche;75011.0;48.85813, 2.379865
633.0;Gabriel BIGOT;8, rue de Reims 75013 Paris;NULL;75013.0;48.828656, 2.371755
832.0;Pierre BROSSOLETTE;89, rue de la Pompe 75016 Paris;NULL;75016.0;48.864683, 2.278131
872.0;BATAILLON STEFANIK;Place du général Stéfanik 75016 Paris;NULL;75016.0;48.839684, 2.255549
925.0;Suzanne BUISSON;39, rue Doudeauville 75018 Paris;NULL;75018.0;48.888437, 2.3539529999999997
1097.0;Georges AMODRU;66, rue des Orteaux 75020 Paris;(Commissariat);75020.0;48.856197, 2.4045
1111.0;André CHASSAGNE;155, avenue Gambetta 75020 Paris;NULL;75020.0;48.870264, 2.40306
523.0;Eleves de ces ecoles morts en déportation parce que nés juifs;35 rue Godegroy Cavaignac;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75011.0;48.856016, 2.380527
280.0;Jean-robert GROSLIER-DOUGLAS;25, avenue de Ségur 75007 Paris;NULL;75007.0;48.851178, 2.309826
665.0;Roland IGERSHEIM;Quai d'Austerlitz 75013 Paris;(grille gare côté départ, 7ème grille gauche);75013.0;48.839764, 2.370772
871.0;Roland SEVEGRAND;43, boulevard Suchet 75016 Paris;NULL;75016.0;48.856282, 2.264199
761.0;Eleves de ces ecoles morts en déportation parce que nés juifs;14 rue d'Alésia 75014 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75014.0;48.827862, 2.332862
724.0;Louis BRELIVET;21, rue de l'Abbé Carton 75014 Paris;NULL;75014.0;48.830128, 2.315564
842.0;Groupe Manouchian ERNEST;17, rue Mirabeau 75016 Paris;NULL;75016.0;48.846602, 2.271407
802.0;Réseau MARC FRANCE;5, rue Edmond Roger 75015 Paris;NULL;75015.0;48.845432, 2.290406
1020.0;ARBRE DE LA LIBERTE;Place de Stalingrad 75019 Paris;NULL;75019.0;48.883602, 2.369862
1182.0;Eleves de ces ecoles morts en déportation parce que nés juifs;99 rue des pyrénées 75020 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75020.0;48.855158, 2.405215
188.0;Eleves de ces ecoles morts en déportation parce que nés juifs;11 rue Buffon 75005 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75005.0;48.842796, 2.362464
301.0;Edmond MICHELET;11, rue Saint-Dominique 75007 Paris;NULL;75007.0;48.858253, 2.322401
338.0;à€ La MEMOIRE DES FORCES ALLIEES;Place de Narvik, ambassade de Norvège 75008 Paris;NULL;75008.0;48.876478, 2.312866
377.0;Eleves de ces ecoles morts en déportation parce que nés juifs;square Motholon 75009 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75009.0;48.880571, 2.330485
424.0;LIBERATION DE PARIS;12, place de la République 75010 Paris;Caserne Verines (intérieur);75010.0;48.868234, 2.363824
590.0;MEMORIAL DU 182ème R.A.L.T.;Fort de Vincennes 75012 Paris;NULL;75012.0;48.842349, 2.442207
814.0;Georges RABEIL;11, rue du Laos 75015 Paris;NULL;75015.0;48.850141, 2.301197
876.0;Eleves de ces ecoles morts en déportation parce que nés juifs;17 rue boileau 75016 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75016.0;48.846355, 2.26528
940.0;Jacques FROMENT;Place Jacques Froment 75018 Paris;NULL;75018.0;48.890859, 2.331174
1021.0;Pierre-fernand BELLUGUE;114, boulevard de la Villette 75019 Paris;NULL;75019.0;48.87737, 2.371361
1037.0;Boris FRENKEL;5 square d'aquitaine 75019 Paris;NULL;75019.0;48.886523, 2.394857
1041.0;GUERRE 1939-1945;Théà¢tre Présent Avenue Jean Jaurès 75019 Paris;NULL;75019.0;48.885958, 2.382264
245.0;Marcel RAOUL;7-9, rue des Quatre-Vents 75006 Paris;NULL;75006.0;48.851703, 2.337781
564.0;Louis, Gustave, Eugène BOVERIE;Rue Descos Mairie du XIIème arrondissement 75012 Paris;Hall d'honneur de la mairie;75012.0;48.841297, 2.388025
623.0;Eleves de ces ecoles morts en déportation parce que nés juifs;51 rue de Charenton 75012 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75012.0;48.850981, 2.372773
705.0;Eleves de ces ecoles morts en déportation parce que nés juifs;53 avenue de la porte d'Ivry 75013 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75013.0;48.821185, 2.369492
774.0;Andre AIGNAN;Place Cambronne 75015 Paris;NULL;75015.0;48.847612, 2.301495
795.0;Charles EVRARD;56, rue de la Fédération 75015 Paris;NULL;75015.0;48.853476, 2.295106
878.0;Eleves de ces ecoles morts en déportation parce que nés juifs;23 avenue du parc des princes 75016 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75016.0;48.840918, 2.254648
884.0;André CALMEL;53, rue des Dames 75017 Paris;NULL;75017.0;48.883882, 2.32202
885.0;COMITE DE LIBERATION DU XVIIeme;18, rue des Batignolles Mairie du xviieme 75017 Paris;NULL;75017.0;48.884452, 2.321898
906.0;Eleves de ces ecoles morts en déportation parce que nés juifs;16 rue laugier 75017 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75017.0;48.880265, 2.296823
932.0;Georges CUSSEAU;94, rue Philippe de Girard 75018 Paris;NULL;75018.0;48.889638, 2.360468
947.0;Gaston HUART;24, boulevard Ney 75018 Paris;NULL;75018.0;48.89881, 2.367969
966.0;Pierre TIMBAUD;88 bis, rue Riquet 75018 Paris;NULL;75018.0;48.890083, 2.361862
975.0;Eleves de ces ecoles morts en déportation parce que nés juifs;61 rue de clignancourt 75018 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75018.0;48.887925, 2.347795
992.0;Eleves de ces ecoles morts en déportation parce que nés juifs;21 rue des Amiraux 75018 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75018.0;48.894656, 2.350169
56.0;Henri CHEVESSIER;Passage des Gravilliers 75003 Paris;NULL;75003.0;48.863396, 2.356849
121.0;Jem HARRIX;Pont au Change 75004 Paris;NULL;75004.0;48.852951, 2.362665
1069.0;Lucien SAMPAIX;24, rue des Bois 75019 Paris;NULL;75019.0;48.878243, 2.39851
1115.0;Cyrille DESROCHES;21, rue de la Py 75020 Paris;NULL;75020.0;48.865329, 2.40501
100.0;Alphonse BERARD;salle de lecture de la bibliothèque del'Hôtel de Ville 75004 Paris;NULL;75004.0;48.854727, 2.354943
373.0;Eleves de ces ecoles morts en déportation parce que nés juifs;12 rue Chaptal 75009 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75009.0;48.880826, 2.33362
334.0;LIBERATION DE PARIS;208, rue du Faubourg Saint- Honoré 75008 Paris;NULL;75008.0;48.875315, 2.304697
465.0;Eleves de ces ecoles morts en déportation parce que nés juifs;34 rue du Fg Saint-Denis Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75010.0;48.871103, 2.353503
223.0;HOTEL LUTETIA;boulevard Raspail 75006 Paris;Hôtel Lutetia;75006.0;48.846377, 2.32832
420.0;Roger LEGALL;11, rue du Faubourg du Temple 75010 Paris;NULL;75010.0;48.868283, 2.365568
597.0;Marcel SCHMITT;38, quai de la Rapée 75012 Paris;NULL;75012.0;48.841554, 2.373127
581.0;LIBERATION DE PARIS;34, rue de Lyon 75012 Paris;NULL;75012.0;48.84938, 2.371462
686.0;Henri PERIER;182, rue Nationale 75013 Paris;NULL;75013.0;48.832345, 2.362867
732.0;Pierre DURAND;Parc Montsouris 75014 Paris;NULL;75014.0;48.822794, 2.337632
616.0;Eleves de ces ecoles morts en déportation parce que nés juifs;8 rue Charles Baudelaire 75012 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75012.0;48.848827, 2.376463
822.0;Eleves de ces ecoles morts en déportation parce que nés juifs;38 rue Violet 75015 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75015.0;48.847542, 2.292927
1018.0;Eleves de ces ecoles morts en déportation parce que nés juifs;Collège Hector Berlioz rue Georgette Agutte 75018 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75018.0;48.895193, 2.332758
1143.0;Simon NADEL;18, rue de Tourtille 75020 Paris;NULL;75020.0;48.8712, 2.381373
1210.0;Eleves de ces ecoles morts en déportation parce que nés juifs;12 rue Bretonneau 75020 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75020.0;48.867551, 2.403102
109.0;DEPORTES ISRAELITES;24-26, rue des Ecouffes 75004 Paris;NULL;75004.0;48.856812, 2.358593
283.0;Marcel HERAUT;110, rue de Grenelle 75007 Paris;(Ministère de l'Education Nationale);75007.0;48.856634, 2.3207969999999998
316.0;Michel VARIN DE LA BRUNELIERE;Quai d'Orsay 75007 Paris;face à  l'Assemblée Nationale après la descente sur berge;75007.0;48.862316, 2.307438
370.0;Eleves de ces ecoles morts en déportation parce que nés juifs;5 rue Milton 75009 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75009.0;48.877344, 2.340561
644.0;Jardin Du Moulin De La Pointe 162-164 AVENUE D'ITALIE;75013 Paris;NULL;75013.0;48.831473, 2.368694
668.0;LAMY;Pont de Tolbiac 75013 Paris;NULL;75013.0;48.82979, 2.38331
669.0;Daniel LAVORINI;153, rue de Tolbiac 75013 Paris;NULL;75013.0;48.826857, 2.35987
843.0;Maurice-henri FRANCE DE SEYNES;2, rue Decamps 75016 Paris;NULL;75016.0;48.865366, 2.282828
929.0;Georges, Cusseau CHAMPION;55, boulevard Barbès 75018 Paris;NULL;75018.0;48.889279, 2.349377
1074.0;Eleves de ces ecoles morts en déportation parce que nés juifs;34rue Saint-bernard;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75019.0;48.89551, 2.376933
1127.0;Robert HAMEL;25, rue Tlemcen 75020 Paris;NULL;75020.0;48.86475, 2.387788
1193.0;Eleves de ces ecoles morts en déportation parce que nés juifs;;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75020.0;48.851745, 2.355582
351.0;René CHOLLET;14, rue de Navarin 75009 Paris;NULL;75009.0;48.879722, 2.338849
569.0;Jean-pierre DUDRAISIL;2, rue de Capri 75012 Paris;NULL;75012.0;48.8355, 2.398118
579.0;LIBERATION DE PARIS;27, rue de Lyon 75012 Paris;NULL;75012.0;48.847675, 2.371338
308.0;Marcel PLANCHART;116, rue de Grenelle Mairie du VIIème arrondissement 75007 Paris;cour intérieure;75007.0;48.856871, 2.320027
319.0;Robert BIRLINGER;92, avenue des Champs-Elysées 75008 Paris;NULL;75008.0;48.871539, 2.303214
309.0;Jean-marie PLESSIER;30, avenue de Saxe 75007 Paris;NULL;75007.0;48.848901, 2.308693
114.0;ECOLE DU TRAVAIL;4 bis, rue des Rosiers 75004 Paris;Sur le mur (dans le Hall d'entrée);75004.0;48.856696, 2.360462
70.0;Antoine LUITAUD;9, rue de Beauce 75003 Paris;NULL;75003.0;48.863093, 2.361344
769.0;Eleves de ces ecoles morts en déportation parce que nés juifs;28 rue Pierre Larousse 75014 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75014.0;48.829103, 2.314202
768.0;Eleves de ces ecoles morts en déportation parce que nés juifs;69 rue de l'Ouest 75014 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75014.0;48.835661, 2.318605
796.0;André GARDELLE;96, rue de la Procession 75015 Paris;NULL;75015.0;48.835428, 2.311642
956.0;MEMORIAL;1, place Jules Joffrin Mairie du XVIIIeme 75018 Paris;Hall d'entrée;75018.0;48.892304, 2.344681
964.0;Aron SKROBEK;48 rue des Trois Frères 75018 Paris;NULL;75018.0;48.885431, 2.339051
1002.0;Eleves de ces ecoles morts en déportation parce que nés juifs;62 rue Lepic 75018 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75018.0;48.886937, 2.333966
1063.0;Régis PALLUT;2, rue de Nantes 75019 Paris;NULL;75019.0;48.891015, 2.383775
1163.0;Odile, Vassili VERHULST;7, rue du Cher 75020 Paris;NULL;75020.0;48.864502, 2.400031
21.0;MEMORIAL;52, rue du Louvre Services postaux, Recette principale des P.T.T. de la Seine 75001 Paris;NULL;75001.0;48.865195, 2.3431
83.0;Eleves de ces ecoles morts en déportation parce que nés juifs;3 rue béranger 75003 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75003.0;48.864819, 2.364379
91.0;Eleves de ces ecoles morts en déportation parce que nés juifs;Lycée turgot 69 rue de Turbigo 75003 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75003.0;48.866138, 2.358616
180.0;Eleves de ces ecoles morts en déportation parce que nés juifs;2 rue Pierre Brossolette 75005 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75005.0;48.841971, 2.347603
187.0;Eleves de ces ecoles morts en déportation parce que nés juifs;14 rue victor cousin 75005 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75005.0;48.847424, 2.342074
480.0;BIEN André;4 rue de la Folie méricourt 75011 Paris;NULL;75011.0;48.861362, 2.374902
601.0;Charles TILLON;41, rue de Saint-Mandé 75012 Paris;NULL;75012.0;48.845235, 2.401291
629.0;ARBRE DE LA LIBERTE;Square avenue de Choisy 75013 Paris;NULL;75013.0;48.825326, 2.360574
771.0;Eleves de ces ecoles morts en déportation parce que nés juifs;12 rue Séverro 75014 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75014.0;48.832453, 2.323515
967.0;Charles WARRIER;Face 22, boulevard de la Chapelle 75018 Paris;Pilier du métro;75018.0;48.884542, 2.362228
1094.0;Plaque extérieure etat DEVE du 24/11/2011;63 rue Archereau 75019 Paris;Plaque extérieure etat DEVE du 24/11/2011;75019.0;48.892856, 2.375825
265.0;Félix BURLOT;Quai d'Orsay, face à  l'Assemblée Nationale 75007 Paris;NULL;75007.0;48.86134, 2.320805
515.0;Marcel RAJMAN;1, rue des Immeubles Industriels 75011 Paris;NULL;75011.0;48.849091, 2.3928000000000003
553.0;Eleves de ces ecoles morts en déportation parce que nés juifs;38 rue Trousseau 75011 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75011.0;48.851917, 2.379033
556.0;Eleves de ces ecoles morts en déportation parce que nés juifs;10 rue Keller 75011 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75011.0;48.854001, 2.376524
568.0;Colonne Commandée Par Le Capitaine Dronne DRONNE;pont d'austerlitz 75012 Paris;republicains espagnols;75012.0;48.846983, 2.370578
